shipment_id,order_date,vehicle_type,region,weather_condition,distance_km,delivery_time_hr,delivery_cost,customer_rating
SHIP1000,2026-01-01 00:00:00,Truck,North,Clear,26.76,2.77,427.0,3.0
SHIP1001,2026-01-01 07:00:00,Mini-Truck,North,Fog,16.71,5.46,367.01,4.0
SHIP1002,2026-01-01 14:00:00,Bike,North,Clear,30.67,3.82,314.81,1.0
SHIP1003,2026-01-01 21:00:00,Truck,Central,Clear,36.46,2.79,393.82,4.0
SHIP1004,2026-01-02 04:00:00,Van,West,Fog,15.43,3.95,,
SHIP1005,2026-01-02 11:00:00,Van,Central,Clear,14.39,3.54,362.98,2.0
SHIP1006,2026-01-02 18:00:00,Van,West,Rain,19.19,2.91,599.29,1.0
SHIP1007,2026-01-03 01:00:00,Mini-Truck,Central,Clear,14.18,1.82,351.2,3.0
SHIP1008,2026-01-03 08:00:00,Bike,Central,Fog,13.01,5.23,525.45,5.0
SHIP1009,2026-01-03 15:00:00,Bike,East,Clear,13.71,3.75,302.82,2.0
SHIP1010,2026-01-03 22:00:00,Van,Central,Storm,31.73,6.11,662.53,4.0
SHIP1011,2026-01-04 05:00:00,Mini-Truck,South,Rain,24.18,4.63,670.51,2.0
SHIP1012,2026-01-04 12:00:00,Bike,East,Clear,14.15,4.16,520.92,5.0
SHIP1013,2026-01-04 19:00:00,Van,Central,Clear,-1.64,2.98,688.95,5.0
SHIP1014,2026-01-05 02:00:00,Van,North,Storm,,2.19,492.7,2.0
SHIP1015,2026-01-05 09:00:00,Van,South,Clear,22.03,3.24,542.22,4.0
SHIP1016,2026-01-05 16:00:00,Van,South,Clear,1.03,2.15,601.43,2.0
SHIP1017,2026-01-05 23:00:00,Truck,South,Clear,20.34,4.28,471.57,5.0
SHIP1018,2026-01-06 06:00:00,Truck,East,Clear,9.48,5.46,4918.168484564807,5.0
SHIP1019,2026-01-06 13:00:00,Van,Central,Rain,18.73,3.19,544.68,3.0
SHIP1020,2026-01-06 20:00:00,Bike,Central,Rain,18.51,,393.38,3.0
SHIP1021,2026-01-07 03:00:00,Van,North,Clear,18.96,2.67,402.3,1.0
SHIP1022,2026-01-07 10:00:00,Van,North,Clear,,3.14,485.75,5.0
SHIP1023,2026-01-07 17:00:00,Truck,South,Rain,14.58,2.52,517.95,3.0
SHIP1024,2026-01-08 00:00:00,Truck,North,Clear,12.23,0.94,468.02,2.0
SHIP1025,2026-01-08 07:00:00,Bike,East,Clear,21.87,3.46,526.29,4.0
SHIP1026,2026-01-08 14:00:00,Van,Central,Fog,24.44,3.65,4763.951110281215,2.0
SHIP1027,2026-01-08 21:00:00,Truck,South,Rain,8.25,4.78,444.88,
SHIP1028,2026-01-09 04:00:00,Truck,North,Rain,17.59,4.45,551.89,3.0
SHIP1029,2026-01-09 11:00:00,Van,East,Fog,19.57,4.47,662.73,1.0
SHIP1030,2026-01-09 18:00:00,Bike,East,Clear,19.47,2.33,705.17,2.0
SHIP1031,2026-01-10 01:00:00,Van,North,Fog,19.33,4.05,501.96,2.0
SHIP1032,2026-01-10 08:00:00,Van,Central,Clear,14.78,5.4,550.8,2.0
SHIP1033,2026-01-10 15:00:00,Mini-Truck,North,Clear,20.23,,687.79,4.0
SHIP1034,2026-01-10 22:00:00,Mini-Truck,South,Clear,22.94,5.69,369.5,3.0
SHIP1035,2026-01-11 05:00:00,Bike,North,Clear,19.13,5.92,525.56,2.0
SHIP1036,2026-01-11 12:00:00,Van,East,Rain,22.05,,542.2,2.0
SHIP1037,2026-01-11 19:00:00,Van,North,Clear,25.92,2.66,623.74,1.0
SHIP1038,2026-01-12 02:00:00,Bike,Central,Clear,3.19,2.59,313.54,1.0
SHIP1039,2026-01-12 09:00:00,Truck,West,Clear,25.55,,4434.745548125947,3.0
SHIP1040,2026-01-12 16:00:00,Van,North,Clear,20.74,2.88,452.57,3.0
SHIP1041,2026-01-12 23:00:00,Truck,Central,Rain,9.11,4.95,495.33,5.0
SHIP1042,2026-01-13 06:00:00,Van,Central,Clear,24.42,0.86,584.74,1.0
SHIP1043,2026-01-13 13:00:00,Mini-Truck,East,Rain,14.81,2.26,512.11,5.0
SHIP1044,2026-01-13 20:00:00,Van,Central,Clear,15.9,3.35,431.83,4.0
SHIP1045,2026-01-14 03:00:00,Bike,Central,Clear,13.94,2.45,,5.0
SHIP1046,2026-01-14 10:00:00,Van,Central,Fog,20.42,2.87,486.13,2.0
SHIP1047,2026-01-14 17:00:00,Truck,Central,Clear,11.72,2.89,659.4,5.0
SHIP1048,2026-01-15 00:00:00,Truck,South,Rain,25.21,3.19,469.88,3.0
SHIP1049,2026-01-15 07:00:00,Van,South,Clear,16.89,-2.62,404.03,4.0
SHIP1050,2026-01-15 14:00:00,Mini-Truck,East,Clear,15.09,2.53,503.95,2.0
SHIP1051,2026-01-15 21:00:00,Bike,North,Storm,24.02,4.62,473.82,5.0
SHIP1052,2026-01-16 04:00:00,Mini-Truck,Central,Clear,15.44,4.76,261.48,4.0
SHIP1053,2026-01-16 11:00:00,Mini-Truck,North,Clear,25.59,1.84,448.12,4.0
SHIP1054,2026-01-16 18:00:00,Truck,North,Rain,25.84,0.19,437.91,2.0
SHIP1055,2026-01-17 01:00:00,Mini-Truck,East,Clear,7.32,4.78,384.74,5.0
SHIP1056,2026-01-17 08:00:00,Van,Central,Fog,26.87,2.03,574.27,4.0
SHIP1057,2026-01-17 15:00:00,Van,Central,Clear,6.3,3.76,355.72,4.0
SHIP1058,2026-01-17 22:00:00,Van,West,Fog,27.37,1.62,504.67,1.0
SHIP1059,2026-01-18 05:00:00,Van,North,Rain,34.23,5.06,432.26,
SHIP1060,2026-01-18 12:00:00,Truck,North,Rain,25.0,6.55,462.92,1.0
SHIP1061,2026-01-18 19:00:00,Van,South,Fog,0.74,3.72,499.41,5.0
SHIP1062,2026-01-19 02:00:00,Bike,West,Clear,26.51,3.39,293.09,5.0
SHIP1063,2026-01-19 09:00:00,Truck,South,Storm,35.97,3.11,473.0,5.0
SHIP1064,2026-01-19 16:00:00,Van,South,Clear,15.58,4.44,724.67,3.0
SHIP1065,2026-01-19 23:00:00,Truck,South,Clear,17.72,-4.18,263.19,5.0
SHIP1066,2026-01-20 06:00:00,Van,East,Clear,8.49,4.7,443.09,4.0
SHIP1067,2026-01-20 13:00:00,Bike,East,Clear,20.5,2.75,584.79,2.0
SHIP1068,2026-01-20 20:00:00,Van,South,Clear,28.15,3.91,486.19,1.0
SHIP1069,2026-01-21 03:00:00,Mini-Truck,West,Fog,23.58,2.85,532.56,3.0
SHIP1070,2026-01-21 10:00:00,bike,North,Fog,389.935395436744,2.23,164.92,5.0
SHIP1071,2026-01-21 17:00:00,Van,West,Storm,18.26,3.45,521.79,5.0
SHIP1072,2026-01-22 00:00:00,Van,Central,Clear,4.95,2.39,358.6,2.0
SHIP1073,2026-01-22 07:00:00,Bike,East,Rain,19.37,4.91,487.19,2.0
SHIP1074,2026-01-22 14:00:00,Bike,North,Clear,-1.33,2.47,446.47,3.0
SHIP1075,2026-01-22 21:00:00,Bike,North,Clear,13.74,3.94,723.4,1.0
SHIP1076,2026-01-23 04:00:00,Bike,Central,Clear,31.0,2.78,515.6,5.0
SHIP1077,2026-01-23 11:00:00,Van,Central,Clear,20.6,3.83,436.49,3.0
SHIP1078,2026-01-23 18:00:00,Truck,South,Rain,19.44,2.87,268.84,4.0
SHIP1079,2026-01-24 01:00:00,Van,East,Clear,32.57,1.99,464.54,
SHIP1080,2026-01-24 08:00:00,Mini-Truck,East,Clear,15.84,4.08,548.79,3.0
SHIP1081,2026-01-24 15:00:00,Bike,West,Clear,28.09,3.22,440.33,5.0
SHIP1082,2026-01-24 22:00:00,Van,South,Clear,19.03,3.84,389.32,3.0
SHIP1083,2026-01-25 05:00:00,Van,South,Clear,21.04,2.99,381.29,5.0
SHIP1084,2026-01-25 12:00:00,Van,South,Storm,8.26,1.91,514.22,2.0
SHIP1085,2026-01-25 19:00:00,Van,South,Clear,14.14,4.8,541.13,3.0
SHIP1086,2026-01-26 02:00:00,Bike,East,Clear,6.82,4.38,613.35,5.0
SHIP1087,2026-01-26 09:00:00,Bike,East,Clear,17.24,2.82,330.6,3.0
SHIP1088,2026-01-26 16:00:00,Mini-Truck,South,Fog,21.12,3.58,513.12,3.0
SHIP1089,2026-01-26 23:00:00,Truck,West,Storm,9.12,4.75,435.4,5.0
SHIP1090,2026-01-27 06:00:00,Van,North,Rain,34.39,2.95,438.93,
SHIP1091,2026-01-27 13:00:00,Bike,North,Rain,20.22,3.14,498.22,1.0
SHIP1092,2026-01-27 20:00:00,Bike,West,Clear,18.46,3.79,498.92,3.0
SHIP1093,2026-01-28 03:00:00,Truck,South,Clear,24.16,2.95,513.45,4.0
